quote,author,tags,likes
"You should date a girl who reads.Date a girl who reads. Date a girl who spends her money on books instead of clothes, who has problems with closet space because she has too many books. Date a girl who has a list of books she wants to read, who has had a library card since she was twelve.Find a girl who reads. You’ll know that she does because she will always have an unread book in her bag. She’s the one lovingly looking over the shelves in the bookstore, the one who quietly cries out when she has found the book she wants. You see that weird chick sniffing the pages of an old book in a secondhand book shop? That’s the reader. They can never resist smelling the pages, especially when they are yellow and worn.She’s the girl reading while waiting in that coffee shop down the street. If you take a peek at her mug, the non-dairy creamer is floating on top because she’s kind of engrossed already. Lost in a world of the author’s making. Sit down. She might give you a glare, as most girls who read do not like to be interrupted. Ask her if she likes the book.Buy her another cup of coffee.Let her know what you really think of Murakami. See if she got through the first chapter of Fellowship. Understand that if she says she understood James Joyce’s Ulysses she’s just saying that to sound intelligent. Ask her if she loves Alice or she would like to be Alice.It’s easy to date a girl who reads. Give her books for her birthday, for Christmas, for anniversaries. Give her the gift of words, in poetry and in song. Give her Neruda, Pound, Sexton, Cummings. Let her know that you understand that words are love. Understand that she knows the difference between books and reality but by god, she’s going to try to make her life a little like her favorite book. It will never be your fault if she does.She has to give it a shot somehow.Lie to her. If she understands syntax, she will understand your need to lie. Behind words are other things: motivation, value, nuance, dialogue. It will not be the end of the world.Fail her. Because a girl who reads knows that failure always leads up to the climax. Because girls who read understand that all things must come to end, but that you can always write a sequel. That you can begin again and again and still be the hero. That life is meant to have a villain or two.Why be frightened of everything that you are not? Girls who read understand that people, like characters, develop. Except in the Twilight series.If you find a girl who reads, keep her close. When you find her up at 2 AM clutching a book to her chest and weeping, make her a cup of tea and hold her. You may lose her for a couple of hours but she will always come back to you. She’ll talk as if the characters in the book are real, because for a while, they always are.You will propose on a hot air balloon. Or during a rock concert. Or very casually next time she’s sick. Over Skype.You will smile so hard you will wonder why your heart hasn’t burst and bled out all over your chest yet. You will write the story of your lives, have kids with strange names and even stranger tastes. She will introduce your children to the Cat in the Hat and Aslan, maybe in the same day. You will walk the winters of your old age together and she will recite Keats under her breath while you shake the snow off your boots.Date a girl who reads because you deserve it. You deserve a girl who can give you the most colorful life imaginable. If you can only give her monotony, and stale hours and half-baked proposals, then you’re better off alone. If you want the world and the worlds beyond it, date a girl who reads.Or better yet, date a girl who writes.",Rosemarie Urquico,[],18690
"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",Jess C. Scott,"['desire', 'emotion', 'friendship', 'honesty', 'imagination', 'individuality', 'life', 'love', 'passion', 'reality', 'relationships', 'romance', 'truth', 'wisdom', 'wise-words']",18519
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,"['good', 'writing']",18461
"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",Toni Morrison,"['books', 'writing']",18438
I love mankind ... it's people I can't stand!!,Charles M. Schulz,"['humor', 'mankind', 'people']",18253
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']",18234
You don’t forget the face of the person who was your last hope.,Suzanne Collins,['the-hunger-games'],18198
I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.,Neil Gaiman,"['dying', 'facts', 'fame', 'knowing', 'love', 'poverty', 'reality', 'school', 'teach', 'wealth']",18089
I am free of all prejudice. I hate everyone equally. ,W.C. Fields,"['humor', 'sinister']",18068
′Classic′ - a book which people praise and don't read.,Mark Twain,"['books', 'classic', 'reading']",17799
"And, when you want something, all the universe conspires in helping you to achieve it.",Paulo Coelho,['inspirational'],17779
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,['humor'],17611
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,"['life', 'regrets']",17574
The marks humans leave are too often scars.,John Green,"['humans', 'pain', 'scars']",17559
I have never let my schooling interfere with my education.,Mark Twain,"['attributed-no-source', 'education']",17481
"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,"['books', 'library', 'reading']",17370
"I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.",J.R.R. Tolkien,"['adventuring', 'death', 'time']",17362
What a slut time is. She screws everybody.,John Green,[],17362
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,['better-life-empathy'],17007
To die will be an awfully big adventure.,J.M. Barrie,"['adventure', 'love']",16933
Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.,John Green,"['books', 'reading']",16865
It takes courage to grow up and become who you really are.,E.E. Cummings,"['attributed-no-source', 'courage']",16762
Anyone who has never made a mistake has never tried anything new.,Albert Einstein,"['attributed-no-source', 'mistakes']",16720
"There is nothing better than a friend, unless it is a friend with chocolate.",Linda Grayson,"['chocolate', 'friendship']",16714
"[Dean] “My dear fellow, who will let you?”[Roark] “That’s not the point. The point is, who will stop me?",Ayn Rand,[],16714
"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.",Veronica Roth,"['inspirational-quotes', 'strength-and-courage']",16671
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Jane Austen,"['humor', 'love', 'romantic', 'women']",16648
"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.",Marianne Williamson,"['akeelah', 'fear', 'inspirational']",16520
"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']",16519
"There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.",John Green,['infinity'],16505
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,"['death', 'life']",16421
"And in that moment, I swear we were infinite.",Stephen Chbosky,['infinity'],16408
Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,"['age', 'fairytales', 'growing-up']",16374
"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.",Nicholas Sparks,"['love', 'marriage']",16374
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,['life'],16364
The books that the world calls immoral are books that show the world its own shame.,Oscar Wilde,"['books', 'morality', 'reading']",16215
"It’s no use going back to yesterday, because I was a different person then.",Lewis Carroll,"['alice', 'humor', 'inspirational', 'philosophy-of-life', 'psychological', 'yesterday']",16198
"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",J.K. Rowling,['integrity'],16076
"We are what we pretend to be, so we must be careful about what we pretend to be.",Kurt Vonnegut,"['action', 'attitude', 'choice', 'imagination', 'inspiration', 'life', 'pretend']",16051
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,"['books', 'mind']",16048
"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,['truth'],16042
Books are a uniquely portable magic.,Stephen King,"['books', 'magic', 'reading']",15762
The truth is rarely pure and never simple.,Oscar Wilde,['truth'],15703
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,"['christianity', 'faith', 'religion', 'sun']",15634
Be nice to nerds. You may end up working for them. We all could.,Charles J. Sykes,"['humor', 'misattributed-to-bill-gates', 'nerd', 'nerds', 'work']",15617
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,"['death', 'life']",15509
A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,"['misattributed-mark-twain', 'truth']",15413
"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.",Nicholas Sparks,"['life', 'love']",15368
Never tell the truth to people who are not worthy of it.,Mark Twain,['truth'],15287
Tis better to have loved and lostThan never to have loved at all.,Alfred Lord Tennyson,"['love', 'paraphrase-of-congreve']",15165
"I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.",Sylvia Plath,"['books', 'life', 'limits']",15152
"Do you remember me telling you we are practicing non-verbal spells, Potter?""""Yes,"" said Harry stiffly.""Yes, sir.""""There's no need to call me ""sir"" Professor.""The words had escaped him before he knew what he was saying.",J.K. Rowling,"['humor', 'rebellion', 'sarcasm']",15115
"It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.",Chuck Palahniuk,"['happiness', 'pain', 'peace', 'scar', 'sweetness']",15089
Memories warm you up from the inside. But they also tear you apart.,Haruki Murakami,['memories'],15065
"Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.",William Shakespeare,['greatness'],14996
"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.",Maya Angelou,"['1993', 'advice', 'complaining', 'inspirational']",14766
Knowing yourself is the beginning of all wisdom.,Aristotle,"['introspection', 'self-discovery', 'wisdom']",14726
"I love you as certain dark things are to be loved, in secret, between the shadow and the soul.",Pablo Neruda,"['love', 'poetry']",14604
A day without laughter is a day wasted.,Nicolas Chamfort,['philosophy'],14510
"A person's a person, no matter how small.",Dr. Seuss,['inspirational'],14491
It's the possibility of having a dream come true that makes life interesting.,Paulo Coelho,['inspirational'],14416
Happiness in intelligent people is the rarest thing I know.,Ernest Hemingway,['happiness'],14288
"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",Bob Marley,"['inspirational', 'love']",14198
"When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.",John Green,"['invincible', 'teenagers', 'teens']",14112
Only the very weak-minded refuse to be influenced by literature and poetry.,Cassandra Clare,"['books', 'literature', 'philosphy', 'poetry', 'reading']",14096
"Thomas Edison's last words were ""It's very beautiful over there"". I don't know where there is, but I believe it's somewhere, and I hope it's beautiful.",John Green,[],14096
"Jesus!"" Luke exclaimed.""Actually, it's just me,"" said Simon. ""Although I've been told the resemblance is startling.",Cassandra Clare,"['humor', 'jace-wayland', 'simon-lewis']",13958
"I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.",Nicholas Sparks,"['dear-john', 'nicholas-sparks']",13956
"Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.",John Green,"['augustus-waters', 'hazel', 'heartbreak', 'privilege']",13955
Just because you have the emotional range of a teaspoon doesn't mean we all have.,J.K. Rowling,['hermione'],13751
"Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.",Oscar Wilde,"['dreaming', 'dreams', 'imagination']",13726
Be careful about reading health books. Some fine day you'll die of a misprint.,Markus Herz,"['books', 'health', 'humor', 'misattributed-mark-twain', 'misprints']",13670
Numbing the pain for a while will make it worse when you finally feel it.,J.K. Rowling,['pain'],13648
It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson,['friends'],13642
"I became insane, with long intervals of horrible sanity.",Edgar Allan Poe,"['insanity', 'sanity']",13602
"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.",Henri Nouwen,"['empathy', 'friends', 'friendship', 'inspirational']",13591
"The one you love and the one who loves you are never, ever the same person.",Chuck Palahniuk,"['life', 'love']",13497
The only true wisdom is in knowing you know nothing.,Socrates,"['knowledge', 'wisdom']",13448
Have you ever noticed how ‘What the hell’ is always the right decision to make?,Terry Johnson,"['humor', 'misattributed-to-marilyn-monroe', 'philosophy']",13429
"Some people don't understand the promises they're making when they make them,"" I said.""Right, of course. But you keep the promise anyway. That's what love is. Love is keeping the promise anyway.",John Green,"['faith', 'faithfulness', 'love', 'promises']",13357
An eye for an eye will only make the whole world blind.,Mahatma Gandhi,"['attributed-no-source', 'conflict', 'fighting', 'peace', 'revenge', 'trial', 'violence']",13341
"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",Nicholas Sparks,"['inspirational', 'the-notebook']",13330
If you're gonna be two-faced at least make one of them pretty.,Marilyn Monroe,['attributed-no-source'],13287
You can never be overdressed or overeducated.,Oscar Wilde,"['education', 'fashion']",13208
Those who don't believe in magic will never find it.,Roald Dahl,[],13208
"So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.",John Green,"['johngreen', 'lookingforalaska']",13184
"Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.",Charles W. Eliot,"['books', 'friends', 'reading', 'teachers']",13142
"I would rather walk with a friend in the dark, than alone in the light.",Helen Keller,['friendship'],13040
"Is this the part where you start tearing off strips of your shirt to bind my wounds?""""If you wanted me to rip my clothes off, you should have just asked.",Cassandra Clare,"['clary', 'clothes', 'jace', 'wounds']",12971
Perhaps one did not want to be loved so much as to be understood.,George Orwell,['truth'],12945
"I speak to everyone in the same way, whether he is the garbage man or the president of the university.",Albert Einstein,"['life', 'respect']",12796
"The truth will set you free, but first it will piss you off.",Joe Klaas,"['anger', 'freedom', 'misattributed-gloria-steinem', 'truth']",12772
Creativity is knowing how to hide your sources,C.E.M. Joad,"['creativity', 'humor', 'misattributed-to-einstein', 'paraphrased']",12764
"Until I feared I would lose it, I never loved to read. One does not love breathing.",Harper Lee,['reading'],12723
"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.",William Styron,"['books', 'reading']",12702
"Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.",Lemony Snicket,"['fate', 'humor', 'simile']",12649
"Life is an awful, ugly place to not have a best friend.",Sarah Dessen,['friendship'],12600
Music expresses that which cannot be put into words and that which cannot remain silent,Victor hugo,"['literature', 'music', 'poetry']",12537
"I wish I could freeze this moment, right here, right now and live in it forever.",Suzanne Collins,['peeta'],12523
"The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.",Rita Mae Brown,"['humor', 'insanity']",12502
Do you hate people?”“I don't hate them...I just feel better when they're not around.,Charles Bukowski,"['humour', 'misanthropy', 'paraphrased']",12451
"I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""""Well,"" said Luke, ""you're doing a fantastic job.",Cassandra Clare,"['clary-fray', 'demons', 'growing-up', 'humor', 'jace-wayland', 'luke', 'teenager']",12403
"If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.",Stephen King,"['reading', 'writing']",12395
"The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925.",Frederick Lewis Donaldson,"['character', 'commerce', 'conscience', 'happiness', 'humanity', 'knowledge', 'misattributed-to-gandhi', 'money', 'morality', 'pleasure', 'politics', 'principle', 'sacrifice', 'science', 'sin', 'sins', 'wealth', 'work', 'worship']",12389
A children's story that can only be enjoyed by children is not a good children's story in the slightest.,C.S. Lewis,"['books', 'children-s-books', 'reading']",12389
"Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.",Mark Twain,['greatness'],12328
"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi,"['attributed-no-source', 'happiness']",12322
How wonderful it is that nobody need wait a single moment before starting to improve the world.,Anne Frank,"['activism', 'life', 'optimism', 'philosophy', 'world']",12290
Being a woman is a terribly difficult trade since it consists principally of dealings with men.,Joseph Conrad,['women'],12289
Well-behaved women seldom make history.,Laurel Thatcher Ulrich,"['inspirational', 'misattributed-eleanor-roosevelt', 'women']",12279
"We're all human, aren't we? Every human life is worth the same, and worth saving.",J.K. Rowling,"['human', 'life', 'value', 'worth']",12259
"Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it, and it will never be used to hurt you.",George R.R. Martin,['identity'],12244
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,Isaac Asimov,"['life', 'science', 'wisdom']",12195
It's the friends you can call up at 4 a.m. that matter.,Marlene Dietrich,['attributed-no-source'],12058
The world is not a wish-granting factory.,John Green,[],12058
"I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.",Lisa Kleypas,"['love', 'relationships', 'romance']",11975
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus,"['attributed-no-source', 'happiness', 'meaning-of-life']",11967
"Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.",Terry Pratchett,"['humor', 'proverb']",11935
I am no bird; and no net ensnares me: I am a free human being with an independent will.,Charlotte Brontë,"['character', 'empowerment', 'flaws', 'freedom', 'gender', 'identity', 'image', 'independence', 'integrity', 'realism', 'self-awareness', 'self-determination', 'women']",11927
"Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.",Nicholas Sparks,[],11927
It's far better to be unhappy alone than unhappy with someone — so far.,Marilyn Monroe,"['alone', 'attributed-no-source']",11816
"Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.",Veronica Roth,"['dauntless', 'divergent', 'fearless', 'four', 'tris']",11719
"When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.",Paulo Coelho,"['hope', 'inspiration', 'love', 'santiago']",11642
"And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.",Roald Dahl,"['believe', 'glittering-eyes', 'hidden', 'magic', 'secrets', 'unlikely-places', 'watch', 'world']",11598
"If you don't know where you're going, any road'll take you there",George Harrison,"['life', 'paraphrase-of-lewis-carroll']",11539
I am not pretty. I am not beautiful. I am as radiant as the sun.,Suzanne Collins,['truth'],11530
"The Road Not TakenTwo roads diverged in a yellow wood,And sorry I could not travel both	And be one traveler, long I stood	And looked down one as far as I could	To where it bent in the undergrowth;	 Then took the other, as just as fair,	And having perhaps the better claim,	Because it was grassy and wanted wear;	Though as for that the passing there	Had worn them really about the same,	 And both that morning equally lay	In leaves no step had trodden black.	Oh, I kept the first for another day!	Yet knowing how way leads on to way,	I doubted if I should ever come back.	 I shall be telling this with a sigh	Somewhere ages and ages hence:	Two roads diverged in a wood, and I—	I took the one less traveled by,	And that has made all the difference.",Robert Frost,"['choice', 'poetry']",11517
One is loved because one is loved. No reason is needed for loving.,Paulo Coelho,['love'],11512
There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.,Stephen Chbosky,['happiness'],11499
You can love someone so much...But you can never love people as much as you can miss them.,John Green,"['breaking-up', 'lost-love']",11494
With great power... comes great need to take a nap. Wake me up later.,Rick Riordan,['nico'],11445
"If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.",C.S. Lewis,"['god', 'world']",11411
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi,"['despair', 'evil', 'goodness', 'inspirational', 'love', 'sadness', 'truth', 'victory']",11398
Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.,Sarah Dessen,['love'],11380
"Everyone thinks of changing the world, but no one thinks of changing himself.",Leo Tolstoy,"['change', 'tolstoy']",11369
